Company Name,Practice Type,URL,Phone Number,Owner Name,Time,Date Booked,Meeting Date,Meeting Status,Next Step,Credit
Kievit Dentistry,Dentist,http://www.kievitdentistry.com/,(860) 521-6767,Alyssa / Rob Kievit,,5/5/25,8/27/25,Cancelled,,
Lafreniere Eyecare,Dentist,https://bracesofmaine.com/contact-us/?utm_source=google&utm_medium=mybusiness,(603) 692-3020,Dr. Charles F. LaFreniere,,7/30/25,1/19/25,Scheduled,,
Advanced Dental of Wallingford,Dentist,https://www.advanceddentalwallingford.com/,(203) 269-4730,Ryan Ku,,5/19/25,5/28/25,Cancelled,,
"Greenwich Dental Group | David A. Zadik DDS, Steven Altman DMD and Marc J. Novak DMD",Dentist,https://www.greenwichdentalgroup.com/,(203) 869-3984,Dr. David Zadik,,6/16/25,6/30/25,Ran,,
"Michael K. Hwang, DMD, LLC",Dentist,http://www.easthartfordctdentist.com/,(860) 528-3427,"Michael K. Hwang, DMD",,6/3/25,6/9/25,Ran,,
Smile Design Boston,Dentist,http://www.windsorfamilydentists.com/,(617) 314-6399,Dr. Andre Hashem,,7/21/25,8/13/25,Scheduled,,
Coletti Family Dentistry,Dentist,https://www.colettifd.com/,(781) 862-8662,Dr. Matthew Coletti,,8/13/25,,Scheduled,,
Biddeford Saco Orthodontics,Dentist,https://www.familydentalandortho.com/boston?utm_source=gmb&utm_medium=organic&utm_campaign=gmborganic,(207) 503-0023,Dr. Amanda Paradis,,7/24/25,8/7/25,Scheduled,,
Harvey Family Dental,Dentist,http://harveydentalma.com/,(617) 675-1500,Dr. Harvey,,6/27/25,7/9/25,Cancelled,,
Dr. Samvel Martirosyan DMD,Dentist,http://smdentalma.com/,(617) 923-0669,Dr. Samvel Martirosyan,,8/13/25,1/18/25,Ran,,
Advanced Cosmetic and Implant Dentistry,Dentist,https://www.hartfordcosmeticdentist.com/locations/glastonbury-office/?utm_source=GBP,(860) 659-8660,Dr. Avinash S. Bidra,,5/19/25,6/2/25,Cancelled,,
The Face Dental Group,Dentist,https://www.facedentalgroup.com/,(617) 236-5969,Dr. James Katib,,6/24/25,7/18/25,Cancelled,,
Comprehensive Dental Care,Dentist,https://www.westhartforddentalcare.com/,(860) 233-7514,Dr. Joe Parets,,4/18/25,5/7/25,Cancelled,,
Litchfield Dental Associates,Dentist,https://litchfielddentalassociates.com/,(860) 567-9488,Dr. Steven Sideris,,6/3/25,6/11/25,Ran,,
Stafford Dental Associates LLC,Dentist,http://stafforddentalassociates.com/,(860) 684-5296,Dr. David Janton,,5/14/25,5/28/25,Cancelled,,
Dental Arts of Boston,Dentist,http://www.bostoncosmeticdentistma.com/,(857) 376-6559,George Stevens,,6/24/25,7/10/25,Ran,,
Farmington Avenue Dental Care,Dentist,https://farmingtonavedentalcare.com/,(860) 200-3922,Robert Katz,,5/22/25,6/11/25,Scheduled,,
Arsenal Modern Dentistry,Dentist,https://www.arsenalmoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A1024%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_NTgzOTAzMjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(857) 263-3895,Brock Riedel,,8/13/25,,Scheduled,,
AP Dental - Staniford Street,Dentist,https://bostonsmilesdental.com/,(617) 581-0689,Dr. Anya Pukhovitskaya,,7/22/25,8/4/25,Scheduled,,
"Central Connecticut Invisalign, Sleep Apnea and TMJ Clinic",Dentist,https://sleepapneaandtmjclinic.com/?utm_campaign=gmb,(860) 544-2108,Dr. Keith Hollinger,,5/7/25,5/29/25,Cancelled,,
"Stuparich & Nouel Dental Associates: Drs. Mauro Stuparich, DDS & Alexandra Nouel, DDS",Dentist,https://www.abostonsmile.com/?utm_source=boston-ma-listing&utm_medium=gmb&utm_campaign=seo&utm_content=website,(617) 468-7443,Dr. Mauro Stuparich,,6/24/25,7/15/25,Cancelled,,
Leather District Dental,Dentist,http://www.leatherdistrictdental.com/,(617) 338-0833,Dr. Michelle Vo,,6/24/25,6/30/25,Ran,,
Norwich Family Dental Associates,Dentist,http://www.norwichfamilydentalassociates.com/,(860) 886-2497,Dr. Snayd,,7/17/25,7/23/25,Cancelled,,
Blue Wave Orthodontics LLC,Dentist,https://www.bluewaveorthodontics.com/?utm_source=google.com&utm_medium=business+profile,(203) 202-7610,Dr. Peter Maro,,6/12/25,7/1/25,Ran,,
Noxon Orthodontics,Dentist,http://noxonorthodontics.com/,(781) 235-7181,Dr. Stephen Noxon,,8/13/25,,Scheduled,,
Uncasville Dental Associates,Dentist,https://www.uncasvilledentalassociates.com/?utm_source=GMB&utm_medium=Organic,(860) 848-2216,Dr. Krutiben Patel,,5/5/25,5/30/25,Cancelled,,
Ark Dental,Dentist,http://www.arkdentalct.com/,(203) 838-3321,Dr. Seung Yub Song,,6/10/25,6/16/25,Ran,,
Masterpiece Dentistry @ Copley,Dentist,http://www.familydentistnewhaven.com/,(617) 266-6020,John Pappas,,7/21/25,8/5/25,Scheduled,,
Marlborough Dentist - Union Dental - MA,Dentist,https://www.theuniondental.com/dentist-marlborough,(508) 481-4200,Dr. Tony Tong,,6/26/25,7/11/25,Ran,checked,checked
Orthodontic Associates,Dentist,https://centerforeyehealth.com/,(207) 885-4850,"Bruce J. Podhouser, DMD",,7/25/25,8/18/25,Scheduled,,
Reidville Dentistry & Implants,Dentist,http://reidvilledentistry.com/,(203) 575-9120,Dr. Petro Matsyshyn,,5/7/25,5/22/25,Cancelled,,
Winchester Optical,Dentist,https://theperiostudio.com/,(781) 729-4553,Joseph Deering,,7/23/25,8/6/25,Scheduled,,
Weston Dental Group,Dentist,https://www.westondentalgroup.com/,(781) 386-2105,"Maria Moser, D.M.D., C.A.G.S.",,8/13/25,1/20/25,Scheduled,,
Watertown Family Dental,Dentist,http://eilersfamilydental.com/,(617) 923-0233,Perichole Eilers,,7/10/25,8/11/25,Scheduled,,
Scali Dental Associates,Dentist,http://www.scalidental.com/,(617) 489-7900,Dr. Philip P. Scali,,7/10/25,7/14/25,Cancelled,,
Integrity Dental of Greenwich,Dentist,https://www.integritydentalgreenwich.com/,(203) 531-5595,Dr. Thomas Anzalone,,6/3/25,6/10/25,Ran,,
A Beautiful Smile Dentistry,Dentist,https://www.absboston.com/,(617) 390-5371,Dr. Jim ,,6/26/25,7/16/25,Ran,checked,checked
Wellesley Square Dental,Dentist,http://wellesleysquaredental.com/,(781) 235-5404,"Bradford R. Mattison, DMD",,7/8/25,7/22/25,Cancelled,,
"Hoyt Street Dental - Dr. Eric E. Navok DMD - Implant, Emergency, Sedation Dentistry",Dentist,http://hoytstreetdental.com/,(203) 323-5820,Dr. Eric Navok,,7/21/25,8/4/25,Scheduled,,
"Michael Nocerino, D.D.S.",Dentist,http://www.michaelnocerinodds.com/,(203) 335-4413,Michael Anthony Nocerino,,6/11/25,6/16/25,Scheduled,,
Steven F Hinchey DMD - Glastonbury Dentist,Dentist,https://dochincheydmd.com/?utm_source=GMB&utm_medium=Organic,(860) 357-5028,Steven F. Hinchey,,5/19/25,5/30/25,Cancelled,,
South Main Dental,Dentist,https://smaindental.com/,(860) 618-7444,Dr. Sreenivasulu Panguluri,,5/19/25,6/3/25,Cancelled,,
Signature Smiles Family & Implant Dentistry,Dentist,https://www.signaturesmilesct.com/manchester-office?utm_source=Google&utm_medium=GMB&utm_campaign=GMB%20Tracking,(860) 644-1095,Dr. Jatinder Sharma,,5/8/25,5/21/25,Ran,,
Concierge Physicians of Westport,Dentist,https://www.congressdentalgroup.com/,(203) 571-3000,Dr. Baum,,7/22/25,8/5/25,Scheduled,,
William Fessler Family Dentistry,Dentist,https://www.wfesslerdds.com/,(203) 838-3939,William Fessler,,6/9/25,6/30/25,Ran,,
"Maewall Dental Care, LLC",Dentist,http://www.maewall.com/,(781) 235-7399,"Renu Maewall, DMD",,8/13/25,1/1/25,Scheduled,,
Coastal Eye & Wellness,Dentist,https://silvafamilydentistry.com/,(603) 632-3500,"Dr. Christi Marrow, OD and Dr. Greg Marrow, OD",,7/31/25,1/19/25,Scheduled,,
"Newtonville Dental Associates, Dr. Sarah Jordan",Dentist,http://www.newtonvilledental.com/,(617) 558-8848,"Sarah K. Jordan, DMD",,8/13/25,,Scheduled,,
David E Palozej Eyecare Associates,Dentist,https://ap.dental/,(860) 684-2191,David Palozej,,7/22/25,8/5/25,Scheduled,,
"Lexington Periodontics & Implantology, LLC",Dentist,http://www.lexingtonperiodontics.com/,(781) 861-7777,Dr. Zori Rabinovitz,,8/14/25,1/25/25,Scheduled,,
Family Dentistry - Thomas Puschak DMD,Dentist,http://www.familydentistrylexingtonma.com/,(781) 863-8333,"Thomas Puschak, DMD",,6/27/25,7/7/25,Ran,,
All Bright Dental,Dentist,http://www.milleniumdental.net/,(203) 324-7596,Dr. Gennadiy Kravets,,7/22/25,8/5/25,Scheduled,,
Boston Prosthodontics Dental Group,Dentist,https://www.bostonprosthodontics.com/,(617) 523-5451,Dr. Kenneth Malament,,6/24/25,7/15/25,Ran,checked,
Dr. Jason R. Tubo - Boston Implant & Aesthetic Dentistry,Dentist,https://www.fixtdentalimplants.com/,(617) 843-6740,Dr. Jason Tubo,,6/27/25,7/15/25,Cancelled,,
Copley View Dental Associates,Dentist,http://www.copleysmiles.com/,(617) 536-6668,Paul Scull,,7/22/25,8/31/25,Scheduled,,
Meola Dental Group - Needham,Dentist,https://smileandskin.com/office-locations/dentists-needham-ma/,(781) 449-0477,Dr. Damian D. Meola,,6/26/25,7/8/25,Ran,,
AAA Dental Care,Dentist,http://www.aaadentalstamford.com/,(203) 663-3737,Dr. Andrew Kim,,7/21/25,8/11/25,Scheduled,,
Dearfield Family Dentistry - Stamford,Dentist,https://www.dearfielddentistry.com/,(203) 717-1717,Dr. Rishi Gogate,,5/21/25,6/9/25,Cancelled,,
Simply Dental of Stamford,Dentist,http://www.simplydentalstamford.com/,(203) 973-7700,Janmeet Grover,,6/12/25,6/27/25,Cancelled,,
Newfield Dental of Stamford,Dentist,http://www.stamforddentist.com,(203) 890-9300,Dr. Poon,,7/21/25,8/4/25,Scheduled,,
Hopmeadow Dental,Dentist,https://hopmeadowdental.com/,(860) 854-4463,Dr. Sawka,,6/17/25,6/26/25,Scheduled,,
Wellesley Dental Implants & Periodontics,Dentist,http://www.wellesleyimplant.com/,(781) 235-6710,Dr. Samuel Koo,,8/13/25,,Scheduled,,
Connecticut Family Dental Group,Dentist,https://www.dentist-rocky-hill.com/,(860) 756-5423,"Joseph S. Ciarcia, D.M.D.",,6/16/25,7/29/25,Cancelled,,
Randolph Family Dentistry,Dentist,http://www.randolphfamilydentistry.com/,(781) 963-0860,Eyad Salloum,,6/26/25,7/16/25,Cancelled,,
Charter Oak Dental,Dentist,http://www.charteroakdental.us/,(860) 224-0797,Dr. Lopa Shah,,5/13/25,5/13/25,Cancelled,,
Anchor Eye Center,Dentist,http://www.newfielddental.com/,(860) 650-0040,Dr. Bortz,,7/16/25,8/4/25,Scheduled,,
Linhart Dentistry Greenwich,Dentist,http://www.drlinhart.com/,(203) 661-2279,Dr. Jan Linhart,,6/18/25,7/30/25,Ran,,
Cote Marguerite OD,Dentist,http://www.dentistgentle.com/,(603) 669-2043,"Marguerite Cote, O.D.",,7/31/25,9/19/25,Scheduled,,
"Charles Street Dental: Sarah Lee, DMD",Dentist,https://www.charlesstdental.com/,(617) 226-2822,Dr. Sarah B. Lee,,6/24/25,7/9/25,Cancelled,,
Riverwalk Dental Care,Dentist,https://www.riverwalkdentalcarect.com/,(203) 286-8668,Dr. David Nill,,6/9/25,8/25/25,Scheduled,,
Harbor Eyecare Center,Dentist,https://baybreezedentistry.com/?utm_campaign=gmb,(603) 430-0211,Dr. Sarah Hudson,,7/31/25,1/20/25,Scheduled,,
JB Orthodontics,Dentist,https://www.jborthodonticsct.com/,(203) 866-7806,Dr. John Bibko,,6/10/25,6/19/25,Ran,,
Gentle Family Dentistry,Dentist,http://www.sveyecare.com/,(603) 926-4575,"Dr. Bei Li, DMD",,7/30/25,,Scheduled,,
Unident Dental Group Walpole,Dentist,https://unidentdentalcenters.com/,(508) 668-1151,Dr. Pradeep Bholla,,6/26/25,7/9/25,Cancelled,,
Westport Dental Associates,Dentist,https://www.westportdental.com/,(203) 227-3709,Adam J. Freeman,,6/6/25,6/19/25,Scheduled,,
Au Blanc Aesthetics,Dentist,https://dentalbydesign.com/au-blanc/,(781) 235-6616,Dr. Tarek Shaib,,6/30/25,8/8/25,Scheduled,,
Berlin Family Dental,Dentist,http://www.berlindentalct.com/,(860) 225-2054,Hashim Gibril,,4/18/25,4/29/25,Ran,,
Cordial Dental,Dentist,https://cordialdental.com/,(203) 354-3771,Dr. Rosabel Tobar,,6/6/25,6/18/25,Cancelled,,
Greater Boston Dental,Dentist,http://www.greaterbostondentist.com/,(617) 924-7301,Dr. Mark Strokowski,,8/13/25,1/21/25,Scheduled,,
Limited to Endodontics,Dentist,https://www.limitedtoendodontics.com/,(781) 863-5700,Dr. Alvin Arlen Krakow,,8/14/25,8/29/25,Scheduled,,
Wellesley Dental Arts - Washington Street,Dentist,https://www.wellesleydentist.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=washington_street,(781) 237-1121,Tania Rohany,,7/8/25,7/22/25,Cancelled,,
Capital Vision Center,Dentist,http://www.deepareddydmd.com/,(603) 226-0855,Dr. Tyler J. Weber,,7/31/25,1/21/25,Scheduled,,
West Hartford Dental PC,Dentist,http://www.whartforddental.com/,(860) 523-9916,Dr. Qianying Jane Yin,,5/12/25,6/5/25,Ran,,
Capitol Dental Associates LLC,Dentist,https://www.capitoldentalassociates.com/,(860) 247-5130,Gregory B. Haroian,,5/22/25,6/11/25,Ran,,
Care Dental Center,Dentist,https://www.caredentaldt.com/,(860) 296-7460,Dr. Vipul A Patel,,5/7/25,5/21/25,Ran,,
Gorgeous Smiles Dental Manchester CT,Dentist,https://www.firstlinedental.com/,(860) 327-5990,Dr. Kahn,,5/5/25,5/14/25,Ran,,
West Newton Dental Associates,Dentist,https://www.westnewtondental.com/,(617) 379-6112,Dr. Joseph Lee,,8/13/25,1/22/25,Scheduled,,
Wellesley Smiles Dental Professionals,Dentist,https://www.wellesleysmiles.com/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,(781) 730-6951,Dr. Alberto Sarmiento,,7/10/25,8/19/25,Ran,checked,checked
Excellence Dental Care PLLC,Dentist,http://evisdmdexcellencedental.com/,(781) 444-2732,Dr. Evis Myftiu,,6/30/25,7/18/25,Ran,,
Dr. Zhuoran Li,Dentist,https://theperiostudio.com/,(508) 232-4012,Zhuoran Li,,7/23/25,8/6/25,Scheduled,,
Endo Associates of Greenwich,Dentist,https://eaofgreenwich.com/,(203) 293-2422,Dr. Evan D. Christensen,,6/11/25,6/19/25,Cancelled,,
CT Family Dentistry,Dentist,https://ctfamilydentistry.com/,(860) 646-1704,Dr. Matthew Rogers,,5/6/25,5/14/25,Cancelled,,
Soap Dental,Dentist,https://soapdentalnatick.com/,(508) 474-7314,Dr. Bob Cheng,,6/27/25,7/8/25,Ran,,
Dr. Jennifer Arscott,Dentist,http://anfamilydentistry.com/,(203) 637-3102,Dr. Alireza Namjoo,,7/15/25,7/31/25,Cancelled,,
Boston Smiles,Dentist,https://www.sunshinedentalmanchester.com/,(617) 982-2233,Dr. Jessika Jahnsen,,7/21/25,8/5/25,Scheduled,,
"Greenwich Smiles, PLLC",Dentist,https://greenwichsmiles.com/,(203) 930-1805,Robert N. Tramposch,,6/5/25,6/19/25,Cancelled,,
Cronin & Murphy: Windsor Family Dentists,Dentist,http://www.windsorfamilydentists.com/,(860) 683-2270,Thomas F. Cronin,,5/12/25,6/11/25,Cancelled,,
Family Smile Center,Dentist,http://www.jodiclevydds.com/,(860) 646-0230,Dr. Jodi C. Levy,,5/5/25,5/19/25,Cancelled,,
"Smile Solutions - Dental Excellence - John W. Stevens, D.D.S., P.C.",Dentist,http://www.smilesolutionsdental.us/,(860) 456-3214,Dr. John Stevens,,5/21/25,6/12/25,Ran,,
"Dr Luhao Chen DDS, C & C Dental",Dentist,http://www.candcbrookline.com/,(617) 505-3567,Luhao Chen,,6/26/25,7/9/25,Ran,,
Meyer Family Dentistry,Dentist,https://biddefordsacoorthodontics.com/,(603) 942-8000,Dr. Kimberly Meyer,,7/30/25,,Scheduled,,
McAlear Eye Care,Dentist,http://www.centralsquaresmiles.com/,(781) 331-4004,Dr. Thomas J. McAlear,,7/24/25,8/7/25,Scheduled,,
North End Dental Associates,Dentist,http://www.pareek.us/,(617) 523-7860,Dr. Sara Pareek,,6/24/25,7/7/25,Scheduled,,
Pollack Orthodontics,Dentist,http://www.pollackortho.com/,(860) 289-5159,Dr. Mark Pollack,,5/8/25,5/20/25,Ran,,
"Smiles for the Future, Pediatric Dentistry Orthodontics & Adult Dentistry",Dentist,http://www.smilesforthefuture.com/,(860) 633-5246,Gary S. Schulman,,5/15/25,6/5/25,Cancelled,,
Westville Family Dental,Dentist,http://www.familydentistnewhaven.com/,(475) 265-5730,Dr. Stanley Jacob,,,6/5/25,Cancelled,,
Cohen‘s Fashion Optical,Dentist,http://meyerfamilydentistry.com/,(603) 888-6500,Jack Cohen,,7/31/25,8/18/25,Scheduled,,
Westport Family Dental,Dentist,http://www.westportfamilydental.com/,(203) 254-8008,Dr. Rebekah Browder,,6/17/25,6/24/25,Cancelled,,
Deepa Reddy DMD PLLC,Dentist,http://www.norteydental.com/,(603) 332-5429,Dr. Deepa Reddy,,7/30/25,,Scheduled,,
Rosenberg Orthodontics,Dentist,https://www.rosenbergortho.com/west-hartford-office?utm_source=google&utm_medium=localsearch&utm_campaign=gmb,(860) 773-0602,Dr. Barry Rosenberg,,5/12/25,5/17/25,Ran,,
Advanced Family & Cosmetic Dentistry,Dentist,https://www.afacd.com/,(860) 854-7188,Dr. John Pavlakis,,5/19/25,5/29/25,Cancelled,,
Milford Dentist Office,Dentist,https://www.milforddentistoffice.com/?sc_cid=GBP%3AO%3AGP%3A938%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTEyNTczNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(781) 325-1091,Kelly Bliss,,6/26/25,7/7/25,Ran,,
"Jeffrey A. Harrison, DMD ~ Metro West Dental",Dentist,https://www.metrowestdental.org/,(781) 237-7400,Jeffrey A. Harrison,,8/13/25,,Scheduled,,
Sunshine Dental of Manchester,Dentist,https://www.sunshinedentalmanchester.com/,(860) 432-8881,Dr. Kapoor,,5/6/25,5/15/25,Cancelled,,
Dental Health and Wellness Boston,Dentist,http://www.dentalhealthandwellnessboston.com/,(617) 742-1220,Dr. Jill B. Smith,,6/24/25,7/9/25,Ran,,
Family Dentistry of Central Connecticut,Dentist,https://www.familydentistryofcentralct.com/?utm_source=GMBListing&utm_medium=Organic,(860) 438-6687,Dr. Maggie Drozdowski Maule,,5/13/25,5/13/25,Cancelled,,
Trepp & Miller,Dentist,http://www.treppandmiller.com/,(203) 869-2510,Dr. Whitlow ,,6/17/25,6/23/25,Ran,checked,checked
Dolan Dental Group,Dentist,https://www.dolandental.com/,(860) 529-2000,Dr. Brendan Dolan,,5/22/25,6/10/25,Ran,,
"East Cedar Dental, Inc of Newington",Dentist,https://dentistnewington.com/,(860) 667-0875,Dr. Aaron Farrokh,,5/5/25,5/14/25,Ran,,
Orlen Eye Care,Dentist,http://www.allbrightdentalny.com/,(860) 741-0231,Dr. Joshua Orlen,,5/21/25,8/21/25,Scheduled,,
Wellesley Endodontics,Dentist,http://www.wellesleyendo.com/,(781) 237-1801,Maryam Shomali,,7/10/25,7/23/25,Cancelled,,
"Newton & Concord Family Orthodontics - Orthodontist in Newton, MA",Dentist,https://www.drmillerbraces.net/,(617) 964-0073,Dr. Brian Miller,,8/13/25,8/20/25,Scheduled,,
Gillis Dental,Dentist,https://www.gillisdental.com/,(781) 202-6357,Dr. Fessler,,6/27/25,6/30/25,Ran,,
Medfield Dental PC,Dentist,http://www.medfielddental.com/,(508) 359-6900,Mari Bae,,6/26/25,7/15/25,Cancelled,,
Dr. Altman & Dr. Kwon Dental Group,Dentist,https://www.easthartforddentists.com/,(860) 528-3350,Dr. Allan Kwon,,5/12/25,5/28/25,Ran,,
South Shore Vision Care,Dentist,https://www.westnewtondental.com/,(781) 417-3667,Dr. Linda S. Botello,,7/24/25,8/5/25,Scheduled,,
I Smile Dental Studio PC,Dentist,https://www.ismiledentalstudioct.com/,(860) 247-1021,Dr. Connie Gao,,5/19/25,6/3/25,Cancelled,,
Middlebury Smiles,Dentist,https://www.middleburysmilesct.com/,(203) 598-7920,Dr. Alexa H. Kolbig,,5/16/25,5/30/25,Ran,,
Norwalk Dental Care,Dentist,https://norwalkdentalcare.com/,(203) 853-6626,Neetu Chopra,,6/9/25,6/17/25,Cancelled,,
"Dr. Alex Smolyar, DMD",Dentist,https://www.smolyardental.com/,(617) 712-2770,Dr. Alex Smolyar,,8/13/25,1/19/25,Scheduled,,
Coastal CT Dentistry,Dentist,https://www.coastalctdental.com/,(860) 447-1787,Dr. Vladislav Kiveliyk,,5/5/25,5/14/25,Ran,,
Pleasant Dental,Dentist,https://www.pleasantstreetdentist.com/,(508) 376-5448,Dr. Arthur Lew,,6/26/25,7/7/25,Ran,,
O'Trafford Dental Specialists,Dentist,https://www.otrafforddental.com/,(617) 859-8000,Dr. Amir Mohsen Mahoozi,,6/24/25,7/8/25,Cancelled,,
River Park Dental,Dentist,https://www.riverparkdentalct.com/?utm_campaign=gmb&utm_medium=local&utm_source=google,(860) 752-1553,Dr. Niaz Ahmed,,5/19/25,6/3/25,Cancelled,,
"Elite Smiles Dental, Invisalign, Implants, Cosmetic Dentistry- Dr. Anatoliy Ravin- Dentist",Dentist,https://www.elitesmilesofct.com/,(860) 673-9141,Dr. Anatoliy Ravin,,5/7/25,6/17/25,Cancelled,,
Boston Dental - Seaport,Dentist,https://www.bostondental.com/,(617) 706-5000,Dr. Maged El-Malecki,,6/24/25,7/8/25,Cancelled,,
Select Dental,Dentist,https://selectdentalct.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_id=gmb_listing,(860) 530-6421,Dr. Stuart Shoflick,,5/13/25,6/5/25,Cancelled,,
Dental Associates of Connecticut,Dentist,https://dentalassociates.us/our-dentists-orthodontists/fairfield-office-location/,(475) 348-8020,Dr. Fussilo,,5/12/25,6/4/25,Cancelled,,
