Company Name,Practice Type,URL,Phone Number,Owner Name,Time,Date Booked,Meeting Date,Meeting Status,Next Step,Credit
Wellesley Endodontics,Dentist,http://www.wellesleyendo.com/,(781) 237-1801,Maryam Shomali,,8/13/25,,Scheduled,,
Modern Dentistry of New England,Dentist,https://www.moderndentistryne.com/,(860) 261-0926,Dr. Sherif Gabr,,5/19/25,6/4/25,Cancelled,,
"Stacy Temple DMD, PLLC",Dentist,https://www.stacytempledmd.com/,(781) 235-1146,Dr. Stacy Temple,,8/13/25,,Scheduled,,
Precision Dental Care,Dentist,https://dr-afkari.com/,(203) 838-5511,Dr. Michelle Afkari,,6/10/25,6/18/25,Ran,,
Infinity Oral Surgery,Dentist,https://infinityoralsurgery.com/,(203) 661-4231,Dr. Michele S. Bergen,,6/5/25,6/18/25,Cancelled,,
Perimenis Family Dental Practice,Dentist,http://www.perimenisdental.com/,(203) 348-1555,Dr. Peter M. Perimenis,,7/17/25,8/19/25,Scheduled,,
Mansfield Family Dental | Dentist in Mansfield CT | DMD,Dentist,https://smartdentalnetwork.com/location/mansfield-family-dental/,(860) 456-2906,Dr. Marc Czarnowski,,5/8/25,5/22/25,Ran,,
Congress Dental Group,Dentist,https://www.congressdentalgroup.com/,(617) 574-8700,Robert Page,,6/24/25,7/10/25,Ran,,
The Stein Dental Group,Dentist,https://thesteindentalgroup.com/,(203) 329-8444,Dr. Micahel Stein,,7/17/25,7/30/25,Cancelled,,
Buckland Hills Dental,Dentist,https://www.bucklandhillsdental.com/?utm_source=google&utm_medium=google_business_profile&utm_campaign=website_click,(860) 644-0099,Dr. Sueyoung Chi,,5/7/25,6/27/25,Cancelled,,
Smiles Dental,Dentist,https://www.smilesdentalhartford.com/,(860) 263-8544,Dr. Chandra,,6/3/25,6/13/25,Scheduled,,
Hanna & Mazer Dental Group,Dentist,http://www.hannaandmazer.com/,(203) 348-3756,Dr. Leon Hanna and Dr. Kayla Mazer,,6/5/25,6/5/25,Cancelled,,
Esthetic Dental Group of Westport: Dr. Steven Regenstein,Dentist,https://www.edgw.us/,(475) 284-8705,Dr. Steven Regenstein,,6/17/25,6/25/25,Cancelled,,
"West Hartford Dental Associates - Dentist in West Hartford, CT",Dentist,https://smartdentalnetwork.com/location/west-hartford-dental-associates/,(860) 561-4378,Dr. Nathan Berry,,,6/3/25,Ran,,
Comprehensive Dental Group,Dentist,http://www.compdentalgroup.com/,(203) 359-3296,Dr. Pogosian,,7/17/25,8/18/25,Scheduled,,
Center For Dental Excellence,Dentist,https://www.ctcde.com/,(860) 521-7129,Lawrence S. Christian,,6/16/25,6/26/25,Scheduled,,
Hill Eye Associates,Dentist,https://www.stamforddentalarts.com/,(978) 957-4750,Dr. Mike Hill,,7/16/25,7/31/25,Cancelled,,
Stamford Dental Group,Dentist,https://stamforddentalgroup.com/,(203) 325-4700,Jack DeGrado,,5/21/25,6/9/25,Cancelled,,
MilleniuM Dental,Dentist,https://www.smiledesignboston.com/,(617) 426-5662,Dr. Ernest Yazigi,,7/22/25,8/7/25,Scheduled,,
Limited to Endodontics,Dentist,https://www.limitedtoendodontics.com/,(781) 863-5700,Dr. Alvin Arlen Krakow,8:00 AM,8/28/25,8/29/25,Scheduled,,
"Lexington Periodontics & Implantology, LLC",Dentist,http://www.lexingtonperiodontics.com/,(781) 861-7777,Dr. Zori Rabinovitz,4:30 PM,8/28/25,1/25/25,Scheduled,,
Siobhan Collins,Dermatologist,https://skinsurgeryct.com/,(860) 676-1900,Dr. Collins,,4/18/25,5/7/25,Ran,,
Nortey Dental,DPC,http://www.patriotdirectfm.com,(207) 646-5297,Dr. Nii Lokko,,7/24/25,8/13/25,Scheduled,,
Advance Biomedical Treatment,DPC,https://www.advbiomedtx.com/,(860) 242-2200,"Eileen C. Comia, M.D.",,4/28/25,5/8/25,Cancelled,,
"Jeffrey H. Weinberger, MD",DPC,http://www.jeffreyweinbergermd.com/,(203) 637-0072,Jeffrey Weinberger,,7/18/25,8/12/25,Scheduled,,
"Dr. Rochelle L. Collins, MD",DPC,http://livingwellprimarycare.com/,(860) 206-2122,Dr. Rochelle Collins,,4/28/25,5/7/25,Cancelled,,
Beacon Eye Care,DPC,https://www.personalhealthmd.com/,(207) 284-4231,Dr. Janet C. Whelan,,7/25/25,8/7/25,Scheduled,,
"Center for Varicose Veins - Dr. Vinay Madan, MD, DABVLM",DPC,https://www.centerforvaricoseveins.com/,(203) 762-6365,"Vinay Madan, MD",,7/18/25,7/29/25,Ran,,
"Personal Physicians of Connecticut, LLC",DPC,http://www.ppcmedical.com/,(203) 968-9500,"Frederick B. Slogoff, M.D.",,7/18/25,7/28/25,Cancelled,,
"Dr. Kerri Stasiak, ND",DPC,https://drkerristasiak.com/,(203) 642-3799,Dr. Kerri Stasiak,,7/18/25,7/29/25,Cancelled,,
"Steven Murphy, MD",DPC,http://conciergemedical.ai/,(203) 646-1188,Dr. Steven Murphy,,7/18/25,7/31/25,Ran,,
3D Medical Concierge,DPC,http://www.3dmedicalconcierge.com/,(617) 481-6905,Ivi Kasimati,,4/28/25,5/6/25,Ran,,
Fairfield Medical Group LLC/my chart,DPC,https://www.fairfieldmedicalgroup.com/contact,(203) 255-8827,Peter C. Tortora,,7/18/25,7/30/25,Cancelled,,
Oronoque Eye Care Inc.,DPC,https://cpwdocs.com,(203) 377-3937,Dr. Kurt J. Tichy,,7/18/25,8/4/25,Scheduled,,
SeeBeyond Medicine,DPC,https://seebeyondmedicine.com/locations/greenwich-ct/,(475) 303-7770,Joon Lee,,7/18/25,8/6/25,Scheduled,,
Glenville Medical Concierge Care,DPC,https://glenvillemedicalconciergecare.com/,(203) 531-1808,"Jeffrey S. Puglisi, MD",,7/18/25,7/30/25,Ran,,
New England Institute for Neurology and Headache,DPC,http://www.neinh.com/,(203) 914-1900,Peter McAllister,,7/18/25,7/29/25,Cancelled,,
Laura Futterman,DPC,https://www.stamfordnaturalhealth.com/,(203) 325-3535,Laura Futterman,,7/18/25,8/11/25,Scheduled,,
"Lawrence Leibowitz, MD",DPC,http://larryleibowitzmd.com/,(203) 920-1772,Larry Leibowitz,,7/18/25,7/31/25,Ran,,
Riverside Eye Center,DPC,https://www.exceptionalhealthmd.com/,(207) 786-2500,Dr. Martin Whitaker,,7/25/25,8/12/25,Scheduled,,
"Steven A Goldstein, O.D. - Casco Bay EyeCare",DPC,http://waylandpersonalphysicians.com/,(207) 773-2020,"Steven A. Goldstein, OD",,7/25/25,8/6/25,Scheduled,,
Bellus Beauty,Medspa,https://bellusbeautyspot.com,(475) 289-0635,Maria ,,5/7/25,5/12/25,Ran,,
Magnolia Health,Medspa,https://magnoliahealthct.com,(860) 866-4005,Dr. Stepney,,6/25/25,7/7/25,Ran,,
Omnia Aesthetics,Medspa,,(678) 394-9408,Zipporiah Hicks,,6/16/25,6/18/25,Ran,,
Savant Skin Aesthetics,Medspa,https://savantskinaesthetics.com,(413) 626-9270,JoAnne,,5/22/25,5/22/25,Ran,,
Intentional Self Aesthetics,Medspa,https://intentionalselfaesthetics.com/,(203) 594-1890,Dr. Alasio,,5/7/25,5/29/25,Ran,,
"Dr. Corinne de Cholnoky, MD",OBGYN,https://drdecholnoky.com/,(203) 325-9710,Dr. Corinne de Cholnoky,,6/5/25,6/25/25,Ran,checked,checked
The Elm,OBGYN,https://theelmgreenwich.com/,(203) 935-8454,Dr. Alicia Robbins,,6/5/25,6/18/25,Cancelled,,
Darien Eye Care,Optometrist,http://www.darieneyecare.com/,(203) 309-5155,Dr. Shefali Ahmadi,,5/20/25,6/11/25,Cancelled,,
Dr. Richard Stegen,Optometrist,https://advancedclinicaleyecare.com/,(603) 678-4759,Dr. Richard Stegen,,7/30/25,8/18/25,Scheduled,,
Eye Disease Consultants LLC,Optometrist,https://eyeconsultants.org/,(860) 549-2020,"Paul A. Gaudio, MD",,5/19/25,7/18/25,Cancelled,,
Look New Canaan,Optometrist,https://looknewcanaan.com/,(475) 558-6400,Jennifer Stewart,,5/20/25,6/9/25,Ran,,
"Fredric I. Smilen O.D., P.C.",Optometrist,http://smileneyes.com/,(203) 348-3937,Fredric I. Smilen,,5/20/25,6/17/25,Ran,,
Sight Studio LLC,Optometrist,https://www.sightstudioeye.com/,(860) 394-2004,Dr. Anna Ngo,,7/15/25,8/13/25,Ran,,
Gaze Optical,Optometrist,http://www.gazeoptical.com/,(617) 336-7486,Dr. Diane Ah-Kiné,,8/14/25,1/22/25,Scheduled,,
Norwalk Eyecare,Optometrist,http://www.norwalkeyecare.com/,(203) 853-1010,Dr. Mark Feder,,5/23/25,7/3/25,Cancelled,,
Stamford Family Vision Center,Optometrist,http://www.stamfordfamilyvision.com/,(203) 504-8488,Dr. Shanee Chandler,,5/20/25,6/16/25,Ran,,
Stamford Dental Arts,Optometrist,https://palozejeyecare.com/,(203) 504-8745,Dr. Ali Modiri,,7/17/25,8/7/25,Scheduled,,
PatriotDirect Family Medicine,Optometrist,https://www.baystateeyeleominster.com/,(508) 318-6941,"Jeffrey Wacks, MD",,7/23/25,8/5/25,Scheduled,,
Dr. Leonard Kundel DMD,Optometrist,http://www.copleyviewdental.com/,(203) 487-6020,Dr. Leonard Kundel,,7/22/25,8/7/25,Ran,,
Clear Horizon Eyecare,Optometrist,https://clearhorizoneyecare.com/,(860) 747-6443,Dr. Gary R. Maglio,,5/19/25,6/4/25,Ran,,
Norwalk Vision Center,Optometrist,http://www.norwalkvisioncenter.com/,(203) 866-3280,David Folman,,5/20/25,6/9/25,Ran,,
New Canaan Eye Associates,Optometrist,http://www.newcanaaneye.com/,(203) 966-9480,Dr. Rick Crolla,,5/20/25,6/10/25,Cancelled,,
"Wayland Personal Physicians | Jane Yu, Jonathan G. Smith & Frederic M. Goldman",Optometrist,https://app.acuityscheduling.com/schedule.php?owner=11465493&hl=en-US&gei=ihM3aOneK9_0kPIP6NGdqAY&source=cat,(508) 358-3300,"Frederic M. Goldman, MD",,7/23/25,8/4/25,Scheduled,,
Parrelli Optical Assembly,Optometrist,http://parrellioptical.com/,(617) 864-7005,John Parrelli,,5/27/25,6/18/25,Ran,,
deborah wayne od,Optometrist,https://www.deborahwayneod.com/,(617) 884-1222,Dr. Deborah Wayne,,5/27/25,6/10/25,Ran,,
Vision Consultants Of Stamford,Optometrist,http://visionconsultantsofstamford.com/,(203) 324-1606,Frank Castaldi,,5/20/25,6/9/25,Cancelled,,
Nashua Eye Associates,Optometrist,https://www.riverside-eye-center-maine.com/?y_source=1_MTEzMzg4ODYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(603) 882-9800,Faith A. Birnbaum,,7/30/25,1/21/25,Scheduled,,
Boston Eye Blink,Optometrist,http://arcadeoptical.com/,(617) 651-6662,Juan Ding - Jay,,7/23/25,8/1/25,Scheduled,,
Envision Optometry,Optometrist,https://www.envisionboston.com/,(617) 426-0100,Dr. Jaclyn Garlich,,5/27/25,6/11/25,Cancelled,,
Western Mass Eye Care and Eyewear Gallery,Optometrist,http://www.westernmasseyecare.com/,(413) 264-0600,Dr. Amy Camerota,,5/27/25,6/12/25,Cancelled,,
Dr. Doty & Associates,Optometrist,http://www.drwilliamdoty.com/,(203) 438-2840,Dr. William T. Doty,,5/23/25,6/20/25,Scheduled,,
Advanced Clinical Eyecare of Maine,Optometrist,https://www.stoughton-optical.com/,(207) 771-7968,"Dr. Mark S. Varnum, O.D.",,7/25/25,8/6/25,Scheduled,,
Silva Family Dentistry,Optometrist,http://mcaleareyecare.com/,(603) 569-9250,Dr. Shawn C. Silva,,7/25/25,8/7/25,Scheduled,,
Enfield Eye Care Associates,Optometrist,http://www.enfieldeyecare.com/,(860) 749-0757,Christopher Agro,,7/14/25,7/29/25,Scheduled,,
West End Eye Care,Optometrist,https://www.westendeyecare.com/,(860) 236-5831,Dr. Lauren Colite,,6/16/25,6/27/25,Cancelled,,
Bay State Eye Associates,Optometrist,http://www.burlingtonvisionassociatesinc.com/,(978) 537-2270,David Kahan,,7/23/25,8/6/25,Scheduled,,
Danberg Susan C OD,Optometrist,http://visiontherapydoctorconnecticut.com/,(860) 657-9189,Dr. Susan C. Danberg,,5/19/25,6/2/25,Cancelled,,
TotalVision Eyecare Center of Manchester,Optometrist,https://totalvisioneyecare.com/,(860) 649-3311,"Dr. Lance Alpert, O.D.",,6/3/25,6/12/25,Ran,,
Woodsville Eye Care Center,Optometrist,http://beaconeyecare.com/,(603) 747-3190,Dr. Kevin M. Stratton,,7/30/25,8/19/25,Scheduled,,
Tolland Eye Care,Optometrist,https://tollandeye.com/,(860) 871-6507,Dr. Castagna,,7/14/25,7/28/25,Ran,,
Brookline VisionHouse,Optometrist,http://www.brooklinevision.com/,(617) 738-6440,Dr. Kalish,,7/9/25,7/16/25,Ran,,
"Burlington Vision Associates, Inc.",Optometrist,http://www.orleneyecare.com/,(781) 272-9365,"Dr. Mark Traveis, O.D.",,7/15/25,7/31/25,Ran,,
East Boston Dental and Orthodontics,Optometrist,http://www.winchesteroptical.net/,(617) 569-2761,Patrick Assioun,,7/23/25,8/4/25,Scheduled,,
Central Square Eye Care,Optometrist,http://www.centralsquareeyecare.net/,(617) 497-2015,Dr. Geoff White,,5/19/25,6/5/25,Ran,,
"Phiyen H. Le, O.D.",Optometrist,http://www.centraleyenewton.com/,(617) 651-2393,Dr. Phiyen H. Le,,8/18/25,10/6/25,Scheduled,,
DR. CAI EYECARE CENTER,Optometrist,http://drcaieyecarecenter.com/,(860) 289-4848,Dr. Thu T. Cai,,5/19/25,6/4/25,Cancelled,,
Loveland Eye Care,Optometrist,https://www.lovelandeyecare.com/,(860) 635-3300,Dr. Loveland,,7/15/25,7/29/25,Ran,,
Bay Breeze Dentistry,Optometrist,https://www.southshorevisioncare.com/,(603) 605-8837,Dr. Carmen Santana-Paine,,7/25/25,8/4/25,Scheduled,,
Personal Health MD,Optometrist,http://www.winchesteroptical.net/,(617) 585-1500,Dr. Richard Donahue,,7/23/25,8/4/25,Scheduled,,
"Xinsheng Zhu, Optometrist",Optometrist,http://www.maldeneyecare.net/,(617) 969-0268,Xinsheng Zhu,,8/14/25,1/21/25,Ran,,
Sound Beach Optiks,Optometrist,https://www.soundbeachoptiks.com/,(203) 637-3120,Frank Poe,,5/20/25,6/9/25,Ran,,
Total Vision,Optometrist,https://eyecarect.com/,(860) 666-7053,Mitchel Strand,,5/19/25,6/2/25,Ran,,
Waverley Eye Care,Optometrist,https://www.anchoreyecenter.com/,(617) 489-3790,Gavin Zuchlinski,,7/14/25,7/31/25,Ran,,
Kelly Family Eyecare,Optometrist,http://www.kellyfamilyeyecarect.com/,(860) 870-5822,Dr. Abby Kelly,,5/19/25,6/4/25,Cancelled,,
The Optical House,Optometrist,http://www.theopticalhouse.com/,(781) 245-3135,Dr. Peter Violette,,5/27/25,6/11/25,Scheduled,,
"Emily Eye Care, LLC",Optometrist,https://www.emilyeye.com/,(860) 749-1233,Dr. Lily Yeh,,7/15/25,8/7/25,Scheduled,,
Pro Optical,Optometrist,http://portlandeyecare.net/,(603) 298-5517,Jeff LaClair,,7/30/25,1/20/25,Scheduled,,
"Area Dental Services Claremont, NH",Optometrist,https://lafreniereeyecare.com/,(603) 647-8247,"Dr. Jack H. Weaver, DDS",,7/31/25,1/18/25,Scheduled,,
Dr. Scott Sylvia,Optometrist,http://www.drscottsylvia.com/,(617) 864-5094,Dr. Scott Sylvia,,5/28/25,6/18/25,Ran,,
"Dr. Shreya Patel, Optometrist",Optometrist,http://www.drshreyapatel.net/,(203) 557-8426,Dr Shreya Patel,,5/23/25,6/5/25,Cancelled,,
Swan Vision Optometry,Optometrist,http://swanvisionoptometry.com/,(860) 785-8176,Edmund Swan,,6/3/25,6/18/25,Ran,checked,
Burlington Optometric Associates,Optometrist,https://www.natickeyeassociates.com/hours-location/location-burlington-optometric-associates/,(781) 229-0909,Dr. Stewart Ginsberg,,6/4/25,6/4/25,Scheduled,,
Lexington eye care,Optometrist,https://www.drzhangeyecare.com/,(781) 676-2020,Dr. Richard Yilin Zhang,,8/18/25,1/5/25,Ran,checked,checked
Center For Eye Health Inc,Optometrist,http://www.burlingtonvisionassociatesinc.com/,(508) 584-2100,Paul E. Beade,,7/23/25,8/6/25,Scheduled,,
Dostal Eye Care,Optometrist,http://dostaleyecare.com/,(413) 527-9284,Dr. Dostal,,5/28/25,7/18/25,Ran,,
West Newton Dental Associates,Optometrist,http://www.hilleye.com/,(617) 379-6112,Dr. Joseph Lee,,7/23/25,8/5/25,Scheduled,,
Coastal Eye,Optometrist,https://www.coastaleyesurgeons.com/,(203) 318-6522,Omar Shakir,,5/21/25,6/9/25,Ran,,
Portland Eyecare,Optometrist,http://www.cannoneyecare.com/,(207) 253-5333,Dr. Leah Grotton and Dr. Alex Grotton,,7/25/25,8/6/25,Scheduled,,
Eye Care East,Optometrist,https://eyecareeast.com/,(508) 879-0980,Dr. Marc A. Foner,,6/4/25,6/25/25,Ran,,
Family Eye Care,Optometrist,http://www.aaeyecare.com/,(207) 284-4560,Dr. Juliann Kandra,,7/25/25,8/8/25,Scheduled,,
Exceptional Health,Optometrist,http://www.hilleye.com/,(781) 772-5500,"Kate Isselbacher, MD",,7/23/25,8/5/25,Scheduled,,
Dr. Anthony Fusco & Associates,Optometrist,http://www.hopevisionnh.com/,(603) 888-1620,Dr. Anthony Fusco,,7/31/25,8/18/25,Scheduled,,
Prudhomme Vision,Optometrist,https://www.prudhommevision.com/,(860) 644-3364,Jeremy Prudhomme,,5/19/25,6/4/25,Ran,,
"Everett B. Sabree, OD",Optometrist,https://www.dartmouthvision.com/our-practice.html,(617) 266-8188,Everett Sabree,,5/27/25,6/12/25,Cancelled,,
Concord Family Vision,Optometrist,http://cascobayeye.com/doctors-and-staff/,(603) 225-2512,Dr. Christopher Udina,,7/30/25,1/18/25,Scheduled,,
Granby Family Eye Care LLC,Optometrist,http://www.drmoffa.com/,(860) 653-7440,Dr. Frederick Moffa,,7/14/25,7/30/25,Ran,checked,
Eye Doctors - Deep River,Optometrist,https://www.cteyedoctors.com/,(860) 526-3937,Monya Elgart,,7/15/25,7/29/25,Cancelled,,
Brookfield Vision,Optometrist,https://brookfieldvisioncare.com,(203) 775-1209,Dr. Schramm,,4/7/25,4/14/25,Ran,,
"Hope Vision, PLLC",Optometrist,https://www.familyeyecaresaco.com/,(603) 224-0971,Dr. Catherine Radakovic,,7/30/25,,Scheduled,,
Norwich Optometry,Optometrist,http://www.norwich-optometry.com/,(860) 886-1155,Dr. Jennifer Capstick,,6/3/25,7/9/25,Ran,,
Sacopee Valley Eye Care,Optometrist,https://bostoneyeblink.com/,(207) 625-3700,Dr. John A. DuBois,,7/25/25,8/1/25,Scheduled,,
New Insight Family EyeCare Prospect,Optometrist,https://newinsighteyecare.com/?utm_source=organic&utm_medium=gmb&utm_campaign=prospect_listing,(203) 758-4447,Dr. Fabian Villacis,,5/19/25,6/6/25,Cancelled,,
Cobb Corner Eye Care,Optometrist,http://arcadeoptical.com/,(781) 344-3335,Daniel Thurm,,7/23/25,8/1/25,Scheduled,,
"Michael Lakher, OD",Optometrist,http://arcadeoptical.com/,(617) 232-9200,Dr. Michael Lakher,,5/28/25,6/9/25,Ran,,
The Perio Studio,Optometrist,https://oronoqueeyecare.com/,(617) 523-2459,Irina Dragan,,7/15/25,7/31/25,Cancelled,,
Central Square Smiles,Optometrist,https://app.acuityscheduling.com/schedule.php?owner=11465493&hl=en-US&gei=ihM3aOneK9_0kPIP6NGdqAY&source=cat,(617) 569-3131,Dr. Bhalla,,7/23/25,8/4/25,Scheduled,,
Kemp Eyecare,Optometrist,https://www.kempeyecare.com/,(860) 236-0896,Neil W. Kemp,,7/15/25,7/30/25,Cancelled,,
Cannon Eyecare,Optometrist,https://www.baystateeyeleominster.com/,(617) 323-0200,Dr. Cari Cannon,,7/23/25,8/5/25,Scheduled,,
Lexington eye care,Optometrist,https://www.drzhangeyecare.com/,(781) 676-2020,Dr. Richard Yilin Zhang,12:00 PM,8/28/25,1/26/25,Ran,checked,checked
"Phiyen H. Le, O.D.",Optometrist,http://www.centraleyenewton.com/,(617) 651-2393,Dr. Phiyen H. Le,1:00 PM,8/28/25,1/29/25,Scheduled,,
Gaze Optical,Optometrist,http://www.gazeoptical.com/,(617) 336-7486,Dr. Diane Ah-Kiné,12:30 PM,8/28/25,1/22/25,Cancelled,,
"Xinsheng Zhu, Optometrist",Optometrist,http://www.maldeneyecare.net/,(617) 969-0268,Xinsheng Zhu,3:00 PM,8/28/25,1/21/25,Ran,,
D-Fine Mind & Body Wellness,Weight Loss Clinic,https://www.dfinewellnesscenter.com/,(860) 916-0252,Joe Carabase,,5/1/25,5/9/25,Cancelled,,
WeightLoss Boston - Sadkhin Complex,Weight Loss Clinic,http://www.weightlossboston.com/,(617) 277-8844,Dr. Shalva Nash,,4/30/25,5/8/25,Ran,,
Arena Care and Wellness,Weight Loss Clinic,http://www.arenacare.org/,(617) 513-8568,Omkar Vaidya,,4/30/25,5/14/25,Ran,,
"Diabetes and Weight Loss Center of Northeast CT, LLC",Weight Loss Clinic,https://ctweightloss.net/,(860) 928-1111,Raja Fattaleh,,5/1/25,5/13/25,Ran,,
Acupuncture Boston - HolliBalance Well-being Center,Weight Loss Clinic,https://www.yourhealthandlongevity.com/,(617) 344-1441,Dr. Yi Song,,5/1/25,5/2/25,Cancelled,,
Fit and Trim Weight Loss Clinic,Weight Loss Clinic,https://www.fat-rx.com/,(781) 630-4380,Monique Jones,,4/30/25,5/9/25,Cancelled,,
Connecticut Secret for Weight Loss,Weight Loss Clinic,https://ctfatloss.com/,(860) 430-2626,none,,4/29/25,5/8/25,Cancelled,,
Commonwealth Weight Loss Center,Weight Loss Clinic,http://commonweight.com/,(781) 418-1900,Dr. Andras Sandor,,5/1/25,5/8/25,Cancelled,,
Middlesex Health Surgical Alliance - Middletown,Weight Loss Clinic,http://middlesexhealth.org/location-finder/middlesex-health-surgical-alliance-middletown,(860) 358-2850,"Jonathan S. Aranow, MD",,4/29/25,5/8/25,Cancelled,,
"Lawrence Leibowitz, MD",Concierge Medicine,http://larryleibowitzmd.com/,(203) 920-1772,Larry Leibowitz,1:00 PM,8/29/25,9/24/25,Scheduled,,
Internal Medicine of Stamford: Radin David M MD,Concierge Medicine,http://www.davidradinmd.com/,(203) 359-4888,David Radin,11:15 AM,8/29/25,1/12/25,Scheduled,,
Luxe Level Aesthetics,Concierge Medicine,https://www.luxelevelaesthetics.com/,(203) 733-0629,Jennifer Armstrong,12:00 PM,8/29/25,1/8/25,Scheduled,,
Dr. Katelyn Lieb - Naturopathic Doctor,Functional Medicine,https://www.drkatelynlieb.com/,(203) 703-9033,Dr. Katelyn Lieb,,8/29/25,,Scheduled,,
"Lawrence Leibowitz, MD",Concierge Medicine,http://larryleibowitzmd.com/,(203) 920-1772,Larry Leibowitz,1:00 PM,8/29/25,9/24/25,Scheduled,,
Internal Medicine of Stamford: Radin David M MD,Concierge Medicine,http://www.davidradinmd.com/,(203) 359-4888,David Radin,11:15 AM,8/29/25,1/12/25,Scheduled,,